Путь,Формат,УЗ,Категории,Количество,Пример (Маскированный)
./dataset/share/Архив сканы/x/zzx36d00/50649664-9664.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx45f00/0060051277.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx51e00/03747860.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx61c00/2084061184.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx70d00/517756535+-6535.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx72d00/518075755.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx79c00/50244030-4037.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx80a00/0060000673.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx84f00/0060352267.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx86c00/2071133389.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx89c00/40002609-2610.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx90a00/0060062976.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx91d00/71329566.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/x/zzx98e00/2031513374.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy02a00/2023473560.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy03e00/2046109202.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy04d00/507995262.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy05c00/2076734459.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy06d00/50536499-6500.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy19e00/2501033072.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy21d00/518303671+-3672.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy22c00/2069739965.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy25a00/81871212_1213.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy25e00/2024090592.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy29c00/2505402423.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy29d00/501859325.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy30e00/87003967_87003968.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy33e00/2043655434.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy35c00/2083542628.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy35e00/2040765681.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy41d00/518208662+-8663.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy49c00/PUBLICATIONS003667-3.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy52e00/2056599150.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy55a00/530919692+-9693.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy57c00/2073415682.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy68d00/502865567_502865617.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy70a00/0060140228.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy70c00/1001402342.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy79e00/0000176593.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy80d00/522738348+-8349.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy89c00/40005199-5206.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy94a00/2064334043b.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/y/zzy95c00/2072568903a.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz01f00/0001252956.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz07d00/tnwl0007597.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz27c00/2041511979.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz28e00/1005103556.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz35c00/2083513848.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz46d00/40015701-5701.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz52c00/2076160631.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz53c00/2064818721.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz57d00/2029289405.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz62e00/2057077308.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz70d00/517751228+-1230.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz77d00/2064857737.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz83c00/2057775423.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz85c00/2073684077.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz86c00/2070718633.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Архив сканы/z/zzz97c00/527802957+-2958.tif,.tif,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Выгрузки/Логистика/customers.csv,.csv,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
./dataset/share/Выгрузки/Логистика/logistics.csv,.csv,Ошибка чтения,,0,CRITICAL WORKER ERROR: A process in the process pool was terminated abruptly while the future was running or pending.
